song,artist,song_lower,song_lower_shorthand
Use My Voice,Evanescence,use my voice,use my voice
Let Me Down,Oliver Tree,let me down,let me down
Closer to the Sky,The Glorious Sons,closer to the sky,closer to the sky
how will i rest in peace if i’m buried by a highway?,KennyHoopla,how will i rest in peace if i’m buried by a highway?,how will i rest in peace if i’m buried by a highway?
Patience,Chris Cornell,patience,patience
Hold On to Memories,Disturbed,hold on to memories,hold on to memories
The End Of The Game,Weezer,the end of the game,the end of the game
Oh My My,Blue October,oh my my,oh my my
Leave Me Alone,I Don’t Know How But They Found Me,leave me alone,leave me alone
Gimme Love,Joji,gimme love,gimme love
The Chain,Evanescence,the chain,the chain
The Buzz,Pretenders,the buzz,the buzz
Come and Go,Juice WRLD featuring Marshmello,come and go,come and go
Sick And Tired,iann dior featuring Machine Gun Kelly & Travis Barker,sick and tired,sick and tired
Trial By Fire,Saul,trial by fire,trial by fire
Godspeed,Alter Bridge,godspeed,godspeed
Mirrorball,Taylor Swift,mirrorball,mirrorball
Circle the Drain,Soccer Mommy,circle the drain,circle the drain
Kings,Clint Lowery,kings,kings
Dissolve,Absofacto,dissolve,dissolve
I Just Wanna Shine,Fitz And The Tantrums,i just wanna shine,i just wanna shine
Lay Your Head On Me,Major Lazer featuring Marcus Mumford,lay your head on me,lay your head on me
Another Life,Motionless in White,another life,another life
Seven,Taylor Swift,seven,seven
This Forgotten Town,The Jayhawks,this forgotten town,this forgotten town
Keep My Name Outta Your Mouth,The Black Keys,keep my name outta your mouth,keep my name outta your mouth
Fire For You,Cannons,fire for you,fire for you
Angels & Demons,jxdn,angels & demons,angels & demons
This Is Me Trying,Taylor Swift,this is me trying,this is me trying
Waiting On A War,Foo Fighters,waiting on a war,waiting on a war
Monsters,All Time Low featuring blackbear,monsters,monsters
Mood,24kGoldn featuring iann Dior,mood,mood
Follow You,Imagine Dragons,follow you,follow you
Heat Waves,Glass Animals,heat waves,heat waves
Darkness Settles In,Five Finger Death Punch,darkness settles in,darkness settles in
Without You,The Kid Laroi,without you,without you
Making A Fire,Foo Fighters,making a fire,making a fire
All My Favorite Songs,Weezer,all my favorite songs,all my favorite songs
We Are Between,Modest Mouse,we are between,we are between
Therefore I Am,Billie Eilish,therefore i am,therefore i am
My Ex's Best Friend,Machine Gun Kelly featuring blackbear,my ex's best friend,my exs best friend
my ex’s best friend,Machine Gun Kelly featuring blackbear,my ex’s best friend,my ex’s best friend
Better Without You,Evanescence,better without you,better without you
Way Less Sad,AJR,way less sad,way less sad
Beggin,Måneskin,beggin,beggin
Serotonin,girl in red,serotonin,serotonin
No Son of Mine,Foo Fighters,no son of mine,no son of mine
Saturday,twenty one pilots,saturday,saturday
Willow,Taylor Swift,willow,willow
Missing Piece,Vance Joy,missing piece,missing piece
Bang!,AJR,bang!,bang!
The Bandit,Kings of Leon,the bandit,the bandit
Shy Away,twenty one pilots,shy away,shy away
A-O-K,Tai Verdes,a-o-k,a-o-k
Wrecked,Imagine Dragons,wrecked,wrecked
Find My Way,Paul McCartney,find my way,find my way
Drunk (And I Don't Wanna Go Home),Elle King & Miranda Lambert,drunk (and i don't wanna go home),drunk
Higher Power,Coldplay,higher power,higher power
Happier Than Ever,Billie Eilish,happier than ever,happier than ever
My Universe,Coldplay featuring BTS,my universe,my universe
Your Power,Billie Eilish,your power,your power
Brutal,Olivia Rodrigo,brutal,brutal
Bed Head,Manchester Orchestra,bed head,bed head
Sofia,Clairo,sofia,sofia
Nowhere Generation,Rise Against,nowhere generation,nowhere generation
Freaks,Surf Curse,freaks,freaks
NDA,Billie Eilish,nda,nda
estella//,KennyHoopla featuring Travis Barker,estella//,estella//
Come & Go,Juice WRLD featuring Marshmello,come & go,come & go
I Wanna Be Your Slave,Måneskin,i wanna be your slave,i wanna be your slave
Hypotheticals,Lake Street Dive,hypotheticals,hypotheticals
La Di Die,Nessa Barrett featuring jxdn,la di die,la di die
t r a n s p a r e n t s o u l,Willow featuring Travis Barker,t r a n s p a r e n t s o u l,t r a n s p a r e n t s o u l
Fire For You,Cannons,fire for you,fire for you
Love Race,Machine Gun Kelly featuring Kellin Quinn,love race,love race
Deep End,Fousheé,deep end,deep end
Violent,carolesdaughter,violent,violent
Solar Power,Lorde,solar power,solar power
Once In A Lifetime,All Time Low,once in a lifetime,once in a lifetime
transparentsoul,Willow featuring Travis Barker,transparentsoul,transparentsoul
Colors,Black Pumas,colors,colors
Papercuts,Machine Gun Kelly,papercuts,papercuts
Let The Bad Times Roll,The Offspring,let the bad times roll,let the bad times roll
Meet Me At Our Spot,THE ANXIETY: WILLOW & Tyler Cole,meet me at our spot,meet me at our spot
Cloud 9,Beach Bunny featuring Tegan and Sara,cloud 9,cloud 9
Can You Handle My Love??,Walk The Moon,can you handle my love??,can you handle my love??
Taking Me Back,Jack White,taking me back,taking me back
Lost Cause,Billie Eilish,lost cause,lost cause
Nobody's Stopping You Now,Lake Street Dive,nobody's stopping you now,nobodys stopping you now
I Hope Ur Miserable Until Ur Dead,Nessa Barrett,i hope ur miserable until ur dead,i hope ur miserable until ur dead
Down,St. Vincent,down,down
Overwhelmed,Royal and The Serpent,overwhelmed,overwhelmed
Champagne Problems,Taylor Swift,champagne problems,champagne problems
Stop Making This Hurt,Bleachers,stop making this hurt,stop making this hurt
Shame Shame,Foo Fighters,shame shame,shame shame
What You Say,Cold War Kids,what you say,what you say
You,"benny blanco, Marshmello & Vance Joy",you,you
Colorado,Milky Chance,colorado,colorado
Time In Disguise,Kings of Leon,time in disguise,time in disguise
Life Goes On,Oliver Tree,life goes on,life goes on
Happy Endings,Mike Shinoda featuring iann dior & Upsahl,happy endings,happy endings
The Sun Hasn't Left,Modest Mouse,the sun hasn't left,the sun hasnt left
Bloody Valentine,Machine Gun Kelly,bloody valentine,bloody valentine
Runaway,AURORA,runaway,runaway
Distorted Light Beam,Bastille,distorted light beam,distorted light beam
Forget Me Too,Machine Gun Kelly & Halsey,forget me too,forget me too
Bad Dream,Cannons,bad dream,bad dream
Dreams,Fleetwood Mac,dreams,dreams
Chaise Longue,Wet Leg,chaise longue,chaise longue
I Don’t Wanna Talk (I Just Wanna Dance),Glass Animals,i don’t wanna talk (i just wanna dance),i don’t wanna talk
Someone To You,Banners,someone to you,someone to you
Dirty,grandson,dirty,dirty
Paralyzed,Sueco,paralyzed,paralyzed
Sticky,The Maine,sticky,sticky
Fly Away,Tones And I,fly away,fly away
Gold Rush,Taylor Swift,gold rush,gold rush
1 Last Cigarette,The Band CAMINO,1 last cigarette,1 last cigarette
Echoing,Kings of Leon,echoing,echoing
Tis The Damn Season,Taylor Swift,tis the damn season,tis the damn season
fake friend,"nothing,nowhere.",fake friend,fake friend
Plastic Hearts,Miley Cyrus,plastic hearts,plastic hearts
Record Player,Daisy The Great featuring AJR,record player,record player
Tolerate It,Taylor Swift,tolerate it,tolerate it
All About You,The Knocks featuring Foster The People,all about you,all about you
Know That I Know,Lake Street Dive,know that i know,know that i know
SugarCrash!,ElyOtto,sugarcrash!,sugarcrash!
"I Am Not A Woman, I'm A God",Halsey,"i am not a woman, i'm a god",i am not a woman im a god
Trouble’s Coming,Royal Blood,trouble’s coming,trouble’s coming
Exile,Taylor Swift featuring Bon Iver,exile,exile
